dimention,Image name,Y-Image Dimentions,X-Image Dimentions
"(2484, 1761)",20080804_freight_bicycle_Shanghai_2383.jpg,1761,2484
"(4652, 2942)",2016_Strzelin%2C_ul._%C5%9Awi%C4%99tego_Floriana_14_1.jpg,2942,4652
"(4272, 2403)",Barclays_Cycle_Hire%2C_St._Mary_Axe%2C_Aldgate.jpg,2403,4272
"(4843, 2009)",Chapelle_de_Bastide_vers_Lasbros_DSC_0598.JPG,2009,4843
"(2265, 1500)",Cycling_Amsterdam.jpg,1500,2265
"(4773, 3128)",Juist%2C_Altes_Warmbad_--_2014_--_3630.jpg,3128,4773
"(4183, 3346)",M%C3%BCnster%2C_Prinzipalmarkt_--_2014_--_4689-93.jpg,3346,4183
"(5184, 3456)",Preah_Sihanouk_National_Park_08.jpg,3456,5184
"(7712, 4352)",Puch_Olympian_12_01.jpg,4352,7712
"(3690, 2860)",Restaurant_Laska._c%C3%B4t%C3%A9_rue_Terraille_%C3%A0_Lyon.jpg,2860,3690
